199, 40, 52, 37, 32
198, 39, 52, 38, 32
202, 40, 52, 38, 32
203, 40, 52, 37, 32
203, 40, 52, 37, 31
203, 40, 51, 38, 32
203, 40, 52, 38, 32
201, 40, 52, 38, 31
199, 40, 52, 37, 32
207, 41, 52, 38, 32
206, 40, 52, 38, 31
205, 40, 52, 37, 32
207, 40, 52, 38, 32
208, 40, 52, 38, 31
208, 40, 52, 38, 32
208, 40, 52, 37, 31
208, 40, 52, 37, 32
208, 40, 52, 38, 31
207, 40, 52, 38, 32
207, 40, 52, 37, 32
208, 40, 52, 38, 32
207, 40, 52, 38, 31
207, 40, 52, 38, 31
207, 40, 52, 38, 31
207, 40, 52, 38, 32
207, 41, 52, 38, 31
207, 40, 52, 38, 32
206, 40, 52, 38, 31
205, 40, 52, 38, 31
203, 40, 52, 37, 31
203, 40, 52, 37, 31
202, 40, 51, 38, 31
139, 40, 52, 38, 32
139, 40, 52, 38, 32
139, 40, 52, 37, 32
139, 40, 52, 38, 32
139, 40, 52, 38, 31
139, 40, 52, 38, 32
139, 40, 52, 38, 32
139, 40, 52, 37, 32
139, 40, 52, 37, 31
139, 40, 52, 38, 31
139, 39, 52, 38, 32
140, 40, 51, 38, 32
202, 40, 52, 38, 32
200, 39, 51, 37, 32
204, 40, 52, 38, 32
198, 40, 52, 38, 32
201, 40, 52, 38, 31
195, 40, 52, 38, 32
138, 40, 51, 38, 32
201, 40, 52, 38, 32
199, 40, 52, 38, 31
204, 40, 52, 38, 31
199, 40, 52, 37, 31
139, 40, 52, 38, 32
139, 40, 52, 38, 32
140, 40, 52, 38, 31
143, 40, 52, 38, 32
143, 40, 52, 38, 31
143, 40, 52, 37, 32
202, 40, 52, 38, 32
200, 40, 52, 38, 32
199, 40, 52, 37, 31
206, 40, 52, 38, 32
206, 40, 52, 37, 32
205, 40, 52, 37, 31
204, 40, 52, 37, 32
203, 40, 51, 37, 32
201, 40, 52, 38, 32
141, 40, 52, 38, 32
145, 40, 51, 38, 32
190, 40, 51, 38, 31
183, 40, 52, 38, 32
204, 40, 52, 38, 32
204, 40, 52, 38, 32
203, 40, 52, 38, 31
203, 40, 51, 37, 32
203, 40, 52, 38, 32
203, 40, 52, 38, 32
201, 40, 51, 38, 31
194, 40, 51, 38, 32
199, 40, 52, 38, 32
202, 40, 51, 37, 32
202, 40, 51, 38, 32
199, 40, 51, 38, 32
200, 40, 51, 38, 32
204, 40, 51, 38, 31
