"171, 176, 107, 108, 65",12
"171, 176, 107, 108, 65",12
"171, 176, 106, 110, 65",12
"171, 176, 106, 112, 66",12
"171, 176, 106, 114, 66",12
"170, 177, 107, 117, 66",12
"173, 179, 109, 125, 69",12
"174, 178, 107, 129, 68",12
"173, 177, 106, 131, 67",12
"173, 177, 106, 130, 68",12
"173, 176, 106, 132, 68",12
"173, 176, 106, 132, 68",12
"172, 176, 106, 134, 68",12
"172, 176, 106, 137, 68",12
"172, 175, 106, 143, 68",12
"173, 175, 106, 149, 69",12
"173, 175, 105, 154, 69",12
"173, 175, 105, 156, 69",12
"173, 175, 105, 159, 69",12
"173, 176, 106, 162, 70",12
"173, 176, 106, 165, 70",12
"173, 176, 106, 169, 70",12
"174, 176, 106, 173, 71",12
"174, 176, 106, 176, 71",12
"174, 176, 105, 179, 71",12
"174, 176, 105, 183, 72",12
"175, 176, 106, 186, 72",12
"175, 176, 106, 189, 73",12
"175, 176, 105, 192, 73",12
"175, 176, 106, 195, 73",12
"175, 176, 106, 197, 74",12
"176, 177, 106, 199, 74",12
"176, 176, 106, 200, 74",12
"176, 177, 106, 201, 75",12
"176, 177, 106, 203, 75",12
"176, 177, 106, 205, 76",12
"176, 177, 106, 206, 76",12
"177, 176, 106, 208, 76",12
"177, 177, 106, 210, 76",12
"177, 177, 106, 212, 77",12
"177, 177, 106, 213, 77",12
"177, 177, 106, 215, 77",12
"178, 177, 106, 217, 78",12
"178, 178, 106, 219, 78",12
"178, 177, 106, 221, 78",12
"178, 177, 106, 222, 79",12
"178, 178, 106, 224, 79",12
"178, 177, 106, 224, 79",12
"178, 178, 107, 226, 79",12
"179, 178, 106, 227, 80",12
"179, 178, 107, 228, 80",12
"179, 178, 107, 232, 80",12
"179, 178, 107, 234, 80",12
"179, 178, 106, 235, 80",12
"180, 178, 107, 236, 81",12
"180, 179, 107, 236, 81",12
"180, 178, 107, 236, 81",12
"180, 178, 107, 236, 82",12
"180, 178, 107, 235, 82",12
"180, 178, 107, 235, 83",12
"180, 179, 107, 235, 82",12
"181, 179, 107, 236, 83",12
"180, 179, 107, 236, 83",12
"181, 179, 107, 237, 84",12
"181, 179, 107, 237, 83",12
"181, 179, 107, 238, 84",12
"181, 179, 107, 238, 84",12
"181, 179, 107, 239, 84",12
"181, 179, 107, 239, 84",12
"182, 179, 107, 239, 85",12
"181, 179, 107, 240, 85",12
"182, 179, 107, 240, 85",12
"182, 180, 107, 241, 85",12
"182, 179, 107, 241, 86",12
"182, 180, 107, 241, 86",12
"182, 179, 107, 242, 86",12
"183, 179, 107, 242, 86",12
"183, 179, 107, 242, 87",12
"183, 180, 107, 242, 87",12
"183, 180, 107, 243, 87",12
"183, 180, 107, 243, 87",12
"183, 180, 107, 244, 87",12
"183, 180, 108, 244, 88",12
"183, 180, 107, 245, 88",12
"183, 180, 107, 245, 88",12
"183, 180, 107, 245, 88",12
"184, 180, 108, 246, 89",12
"184, 180, 107, 246, 89",12
